Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
04/12/2019,27634.63,27727.45,27612.08,27649.78
03/12/2019,27501.98,27524.74,27325.13,27502.81
02/12/2019,28109.74,28109.84,27782.35,27783.04
29/11/2019,28103.16,28119.51,28042.53,28051.41
27/11/2019,28156.47,28174.97,28075.23,28164.00
26/11/2019,28080.75,28146.02,28042.21,28121.68
25/11/2019,27917.77,28068.69,27917.77,28066.47
22/11/2019,27831.23,27898.46,27773.98,27875.62
21/11/2019,27820.28,27828.33,27708.34,27766.29
20/11/2019,27879.55,27897.28,27675.28,27821.09
19/11/2019,28079.76,28090.21,27894.52,27934.02
18/11/2019,27993.22,28040.97,27969.24,28036.22
15/11/2019,27843.54,28004.89,27843.54,28004.89
14/11/2019,27757.2,27800.71,27676.97,27781.96
13/11/2019,27622.04,27806.4,27587.2,27783.59
12/11/2019,27701.59,27770.86,27635.32,27691.49
11/11/2019,27580.66,27714.39,27517.67,27691.49
08/11/2019,27686.2,27694.95,27578.97,27681.24
07/11/2019,27590.16,27774.67,27590.16,27674.80
06/11/2019,27502.74,27526.05,27407.81,27492.56
05/11/2019,27500.23,27560.36,27453.55,27492.63
04/11/2019,27402.06,27517.58,27402.06,27462.11
01/11/2019,27142.95,27347.43,27142.95,27347.36
31/10/2019,27188.37,27188.37,26918.29,27046.23
30/10/2019,27110.71,27204.36,26999.64,27186.69
29/10/2019,27061.07,27165.94,27039.76,27071.42
28/10/2019,27040.33,27167.88,27028.71,27090.72
25/10/2019,26789.61,27015.37,26765.68,26958.06
24/10/2019,26893.93,26931.78,26714.34,26805.53
23/10/2019,26835.24,26896.89,26745,26833.95
22/10/2019,26850.43,26946.64,26782.61,26788.10
21/10/2019,26852.67,26852.67,26747.62,26827.64
18/10/2019,27004.49,27018.25,26770.13,26770.20
17/10/2019,27032.38,27112.16,26970.29,27025.88
16/10/2019,26972.31,27058.34,26943.29,27001.98
15/10/2019,26811.2,27120.11,26811.2,27024.80
14/10/2019,26766.43,26874.33,26749.18,26787.36
11/10/2019,26694.2,27013.97,26694.2,26816.59
10/10/2019,26317.35,26603.31,26314.51,26496.67
09/10/2019,26308.23,26424.31,26249.75,26346.01
08/10/2019,26276.59,26421.81,26139.8,26164.04
07/10/2019,26502.33,26655.84,26424.54,26478.02
04/10/2019,26271.7,26590.74,26271.7,26573.72
03/10/2019,26039.02,26205.2,25743.46,26201.04
02/10/2019,26425.86,26438.04,25974.12,26078.62
01/10/2019,26962.54,27046.21,26562.22,26573.04
30/09/2019,26852.33,26998.86,26852.33,26916.83
27/09/2019,26987.26,27012.54,26715.82,26820.25
26/09/2019,27004.11,27015.07,26803.84,26891.12
25/09/2019,26866.71,27016.56,26755.86,26970.71
24/09/2019,27034.07,27079.68,26704.96,26807.77
23/09/2019,26851.45,27011.07,26831.34,26949.99
20/09/2019,27102.18,27194.75,26926.68,26935.07
19/09/2019,27186.05,27272.17,27064.21,27094.79
18/09/2019,27075.39,27161.93,26899.15,27147.08
17/09/2019,27010.12,27110.8,26984.14,27110.80
