sep=,
"Date","Open(Q.DJI)","High(Q.DJI)","Low(Q.DJI)","Last(Q.DJI)"
"31/12/2019","26,962.54","28,174.97","25,743.46","27,649.78"
"30/09/2019","26,805.86","27,398.68","25,339.6","26,916.83"
"30/06/2019","26,075.1","26,907.37","24,680.57","26,599.96"
"31/03/2019","23,058.61","26,241.42","22,638.41","25,928.68"
"31/12/2018","26,598.36","26,951.81","21,712.53","23,327.46"
"30/09/2018","24,161.53","26,769.16","24,077.56","26,458.31"
"30/06/2018","24,076.6","25,402.83","23,344.52","24,271.41"
"31/03/2018","24,809.35","26,616.71","23,360.29","24,103.11"
"31/12/2017","22,423.47","24,876.07","22,416","24,719.22"
"30/09/2017","21,392.3","22,419.51","21,279.3","22,405.09"
"30/06/2017","20,665.17","21,535.03","20,379.55","21,349.63"
"31/03/2017","19,872.86","21,169.11","19,677.94","20,663.22"
"31/12/2016","18,279.6","19,987.63","17,883.56","19,762.6"
"30/09/2016","17,924.24","18,668.44","17,713.45","18,308.15"
"30/06/2016","17,661.74","18,167.63","17,063.08","17,929.99"
"31/03/2016","17,405.48","17,790.11","15,450.56","17,685.09"
"31/12/2015","16,278.62","17,977.85","16,013.66","17,425.03"
"30/09/2015","17,638.12","18,137.12","15,370.33","16,284.7"
"30/06/2015","17,778.52","18,351.36","17,576.5","17,619.51"
"31/03/2015","17,823.07","18,288.63","17,037.76","17,776.12"
"31/12/2014","17,040.46","18,103.45","15,855.12","17,823.07"
"30/09/2014","16,828.53","17,350.64","16,333.78","17,042.9"
"30/06/2014","16,458.05","16,978.02","16,015.32","16,826.6"
"31/03/2014","16,572.17","16,573.07","15,340.69","16,457.66"
"31/12/2013","15,132.49","16,588.25","14,719.43","16,576.66"
"30/09/2013","14,911.6","15,709.58","14,760.41","15,129.67"
"30/06/2013","14,578.54","15,542.4","14,434.43","14,909.6"
"31/03/2013","13,104.3","14,585.1","13,104.3","14,578.54"
"31/12/2012","13,437.66","13,661.87","12,471.49","13,104.14"
"30/09/2012","12,879.71","13,653.24","12,492.25","13,437.13"
"30/06/2012","13,211.36","13,338.66","12,035.09","12,880.09"
"31/03/2012","12,221.19","13,289.08","12,221.19","13,212.04"
"31/12/2011","10,912.1","12,328.47","10,404.49","12,217.56"
"30/09/2011","12,412.07","12,753.89","10,597.14","10,913.38"
"30/06/2011","12,321.02","12,876","11,862.53","12,414.34"
"31/03/2011","11,577.43","12,391.29","11,555.48","12,319.73"
"31/12/2010","10,789.72","11,625","10,711.12","11,577.51"
"30/09/2010","9,773.27","10,948.88","9,614.32","10,788.05"
"30/06/2010","10,857.31","11,258.01","9,753.84","9,774.02"
"31/03/2010","10,430.69","10,955.48","9,835.09","10,856.63"
"31/12/2009","9,711.6","10,580.33","9,430.08","10,428.05"
"30/09/2009","8,447.53","9,917.99","8,087.19","9,712.28"
"30/06/2009","7,606.13","8,877.93","7,483.87","8,447"
"31/03/2009","8,772.25","9,088.06","6,469.95","7,608.92"
"31/12/2008","10,847.4","10,882.52","7,449.38","8,776.39"
"30/09/2008","11,344.64","11,867.11","10,365.45","10,850.66"
"30/06/2008","12,266.64","13,136.69","11,287.56","11,350.01"
"31/03/2008","13,261.82","13,279.54","11,634.82","12,262.89"
"31/12/2007","13,895.71","14,198.1","12,724.09","13,264.82"
"30/09/2007","13,409.6","14,021.95","12,517.94","13,895.63"
"30/06/2007","12,354.52","13,692","12,324.28","13,408.62"
"31/03/2007","12,459.54","12,795.93","11,939.61","12,354.35"
"31/12/2006","11,678.99","12,529.88","11,653.06","12,463.15"
"30/09/2006","11,149.34","11,741.99","10,683.32","11,679.07"
"30/06/2006","11,113","11,670.19","10,698.85","11,150.22"
"31/03/2006","10,718.3","11,334.96","10,661.15","11,109.32"
"31/12/2005","10,569.5","10,959.79","10,156.46","10,717.5"
"30/09/2005","10,273.59","10,719.41","10,175.4","10,568.7"
"30/06/2005","10,504.57","10,656.29","10,000.46","10,274.97"
"31/03/2005","10,783.75","10,984.46","10,368.61","10,503.76"
"31/12/2004","10,082.04","10,868.07","9,708.4","10,783.01"
"30/09/2004","10,434","10,448.09","9,783.91","10,080.27"
"30/06/2004","10,357.52","10,570.81","9,852.19","10,435.48"
"31/03/2004","10,452.74","10,753.63","10,007.49","10,357.7"
"31/12/2003","9,276.8","10,462.44","9,276.8","10,453.92"
"30/09/2003","8,983.66","9,686.08","8,871.2","9,275.06"
"30/06/2003","7,992.83","9,352.77","7,979.69","8,985.44"
"31/03/2003","8,342.38","8,869.29","7,416.64","7,992.13"
"31/12/2002","7,593.04","9,043.37","7,197.49","8,341.63"
"30/09/2002","9,239.25","9,410.38","7,460.78","7,591.93"
"30/06/2002","10,402.07","10,402.07","8,926.57","9,243.26"
"31/03/2002","10,021.71","10,673.1","9,529.46","10,403.94"
"31/12/2001","8,845.97","10,184.45","8,732.14","10,021.5"
"30/09/2001","10,504.95","10,679.12","8,062.34","8,847.56"
"30/06/2001","9,877.16","11,350.05","9,375.72","10,502.4"
"31/03/2001","10,790.92","11,035.14","9,106.54","9,878.78"
"31/12/2000","10,659.06","11,006.5","9,654.64","10,786.85"
"30/09/2000","10,450.36","11,401.19","10,393.09","10,650.92"
"30/06/2000","10,863.28","11,425.45","10,201.53","10,447.9"
"31/03/2000","11,501.85","11,750.28","9,731.81","10,921.93"
"31/12/1999","10,335.69","11,568.77","9,976.02","11,497.12"
"30/09/1999","10,966.05","11,365.93","10,081.13","10,336.96"
"30/06/1999","9,786.44","11,130.67","9,765.63","10,970.81"
"31/03/1999","9,184.01","10,085.31","9,063.26","9,786.16"
"31/12/1998","7,841.33","9,380.2","7,467.49","9,181.43"
"30/09/1998","8,958.99","9,367.84","7,400.3","7,842.62"
"30/06/1998","8,801.56","9,261.91","8,569.88","8,952.01"
"31/03/1998","7,910.49","8,959.24","7,443.41","8,799.8"
"31/12/1997","7,992.17","8,184.7","6,971.32","7,908.24"
"30/09/1997","7,692.47","8,299.49","7,580.85","7,945.25"
"30/06/1997","6,562.33","7,834.06","6,356.37","7,672.79"
"31/03/1997","6,461.73","7,112.1","6,352.82","6,583.47"
"31/12/1996","5,878.81","6,589.53","5,861.67","6,448.26"
"30/09/1996","5,670.14","5,929.88","5,182.32","5,882.16"
"30/06/1996","5,609.9","5,796.1","5,342.19","5,654.62"
"31/03/1996","5,107","5,709.97","5,000.79","5,587.14"
"31/12/1995","4,786.55","5,235.62","4,659.74","5,117.12"
"30/09/1995","4,552.98","4,816.54","4,551.25","4,789.08"
"30/06/1995","4,159.42","4,593.1","4,155.96","4,556.09"
"31/03/1995","3,831.41","4,198.84","3,817.26","4,157.69"
"31/12/1994","3,850.59","3,949.84","3,638.83","3,834.44"
"30/09/1994","3,654.42","3,953.88","3,623.02","3,843.18"
"30/06/1994","3,552.18","3,823.39","3,552.18","3,624.96"
"31/03/1994","3,751.57","3,985.96","3,559.09","3,635.96"
"31/12/1993","3,557.36","3,799.92","3,553.72","3,754.09"
"30/09/1993","3,520.51","3,663.83","3,449.93","3,555.12"
"30/06/1993","3,444.57","3,569.78","3,363.79","3,516.08"
"31/03/1993","3,312.46","3,482.12","3,231.95","3,435.11"
"31/12/1992","3,279.23","3,352.71","3,095.79","3,301.11"
"30/09/1992","3,323.87","3,402.96","3,207.1","3,271.66"
"30/06/1992","3,220.04","3,422.28","3,161.23","3,318.52"
"31/03/1992","3,152.06","3,299.64","3,139.31","3,235.47"
"31/12/1991","3,017.66","3,188.05","2,839.44","3,168.83"
"30/09/1991","2,906.75","3,060.82","2,859.57","3,016.77"
"30/06/1991","2,913.86","3,036","2,840.34","2,906.75"
"31/03/1991","2,633.66","3,002.72","2,457.67","2,913.86"
"31/12/1990","2,452.23","2,648.51","2,354.21","2,633.66"
"30/09/1990","2,880.69","3,010.64","2,379.7","2,452.48"
"30/06/1990","2,706.76","2,948.54","2,634.01","2,880.69"
"31/03/1990","2,753.41","2,822.95","2,519.14","2,707.21"
"31/12/1989","2,692.63","2,795.97","2,504.92","2,753.2"
"30/09/1989","2,440.06","2,760.26","2,436.84","2,692.82"
"30/06/1989","2,296.19","2,535.28","2,285.56","2,440.06"
"31/03/1989","2,168.39","2,360.36","2,131.79","2,293.62"
"31/12/1988","2,112.73","2,188.04","2,028.98","2,168.57"
"30/09/1988","2,141.71","2,165.01","1,984.71","2,112.91"
"30/06/1988","1,987.73","2,162.52","1,925.56","2,141.71"
"31/03/1988","1,938.83","2,100.46","1,850.96","1,988.06"
"31/12/1987","2,596.12","2,651.76","1,616.21","1,938.83"
"30/09/1987","2,418.37","2,736.61","2,404.18","2,596.28"
"30/06/1987","2,304.69","2,457.11","2,193.32","2,418.53"
"31/03/1987","1,895.11","2,387.36","1,894.97","2,304.69"
"31/12/1986","1,767.44","1,961.47","1,765.75","1,895.95"
"30/09/1986","1,892.86","1,927.02","1,737.2","1,767.58"
