Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
06/12/2019,28109.74,28109.84,27325.13,27649.78
29/11/2019,27917.77,28174.97,27917.77,28051.41
22/11/2019,27993.22,28090.21,27675.28,27875.62
15/11/2019,27580.66,28004.89,27517.67,28004.89
08/11/2019,27402.06,27774.67,27402.06,27681.24
01/11/2019,27040.33,27347.43,26918.29,27347.36
25/10/2019,26852.67,27015.37,26714.34,26958.06
18/10/2019,26766.43,27120.11,26749.18,26770.20
11/10/2019,26502.33,27013.97,26139.80,26816.59
04/10/2019,26852.33,27046.21,25743.46,26573.72
27/09/2019,26851.45,27079.68,26704.96,26820.25
20/09/2019,27146.06,27272.17,26899.15,26935.07
13/09/2019,26866.23,27306.73,26717.05,27219.52
06/09/2019,26198.26,26860.87,25978.22,26797.46
30/08/2019,25826.05,26514.62,25637.43,26403.28
23/08/2019,26020.06,26388.78,25507.18,25628.90
16/08/2019,26169.91,26426.97,25339.60,25886.01
09/08/2019,26259.23,26413.36,25440.39,26287.44
02/08/2019,27192.24,27281.65,26249.22,26485.01
26/07/2019,27174.18,27368.81,27062.48,27192.45
19/07/2019,27364.69,27398.68,27068.79,27154.20
12/07/2019,26835.64,27333.79,26665.57,27332.03
05/07/2019,26805.86,26966.00,26616.21,26922.12
28/06/2019,26727.61,26806.52,26465.32,26599.96
21/06/2019,26108.53,26907.37,26049.80,26719.13
14/06/2019,26090.22,26248.67,25958.66,26089.61
07/06/2019,24830.16,26072.75,24680.57,25983.94
31/05/2019,25616.55,25717.63,24809.51,24815.04
24/05/2019,25655.31,25898.27,25328.09,25585.69
17/05/2019,25568.06,25957.63,25222.51,25764.00
10/05/2019,26160.62,26476.27,25469.86,25942.37
03/05/2019,26559.87,26689.39,26180.36,26504.95
26/04/2019,26510.77,26695.96,26310.28,26543.33
19/04/2019,26407.76,26602.42,26316.42,26559.54
12/04/2019,26312.67,26436.68,26062.59,26412.30
05/04/2019,26075.10,26487.57,26071.69,26424.99
29/03/2019,25490.72,25949.32,25372.26,25928.68
22/03/2019,25801.88,26109.68,25501.45,25502.32
15/03/2019,25208.00,25927.91,25208.00,25848.87
08/03/2019,26122.19,26155.98,25252.46,25450.24
01/03/2019,26126.15,26241.42,25877.24,26026.32
22/02/2019,25849.85,26052.90,25762.21,26031.81
15/02/2019,25142.81,25883.72,25009.10,25883.25
08/02/2019,25062.12,25439.04,24883.04,25106.33
01/02/2019,24596.98,25193.15,24323.94,25063.89
25/01/2019,24607.76,24860.15,24244.31,24737.20
18/01/2019,23880.53,24750.22,23765.24,24706.35
11/01/2019,23474.26,24014.78,23301.59,23995.95
04/01/2019,23153.94,23518.64,22638.41,23433.16
28/12/2018,22317.28,23381.88,21712.53,23062.40
21/12/2018,23986.83,24088.08,22396.34,22445.37
14/12/2018,24360.95,24828.29,23881.37,24100.51
07/12/2018,25779.57,25980.21,24242.22,24388.95
30/11/2018,24364.13,25549.71,24364.13,25538.46
23/11/2018,25392.61,25392.61,24268.74,24285.95
16/11/2018,25959.33,25966.71,24787.79,25413.22
09/11/2018,25261.47,26277.82,25261.47,25989.30
02/11/2018,24818.98,25578.98,24122.23,25270.83
26/10/2018,25492.14,25561.34,24445.19,24688.31
19/10/2018,25332.46,25817.68,25236.01,25444.34
12/10/2018,26399.45,26539.94,24899.77,25339.99
05/10/2018,26598.36,26951.81,26301.81,26447.05
28/09/2018,26705.25,26709.94,26349.34,26458.31
21/09/2018,26151.66,26769.16,26030.35,26743.50
14/09/2018,25991.91,26211.11,25754.32,26154.67
07/09/2018,25916.07,26073.68,25805.95,25916.54
31/08/2018,25882.71,26167.94,25879.77,25964.82
24/08/2018,25727.70,25888.82,25608.02,25790.35
17/08/2018,25327.19,25728.16,24965.77,25669.32
10/08/2018,25437.43,25692.72,25222.88,25313.14
03/08/2018,25439.32,25500.16,25120.07,25462.58
27/07/2018,25036.90,25587.24,24983.33,25451.06
20/07/2018,25025.58,25215.32,24979.64,25058.12
