Date,Open(Q.FTAS),High(Q.FTAS),Low(Q.FTAS),Last(Q.FTAS)
16/12/2019,4095.03,4198.50,4094.94,4183.97
13/12/2019,4033.41,4133.93,4019.15,4095.03
12/12/2019,4003.03,4048.72,4002.96,4033.41
11/12/2019,4006.12,4022.72,3990.16,4003.03
10/12/2019,4020.33,4020.59,3970.99,4006.12
09/12/2019,4023.21,4028.24,4010.14,4020.33
06/12/2019,3969.84,4023.21,3969.84,4023.21
05/12/2019,3990.92,3994.99,3965.93,3969.84
04/12/2019,3971.65,3990.92,3963.56,3990.92
03/12/2019,4035.77,4035.78,3957.65,3971.65
02/12/2019,4066.73,4092.34,4030.89,4035.77
29/11/2019,4104.54,4106.23,4066.73,4066.73
28/11/2019,4108.09,4108.09,4086.67,4104.54
27/11/2019,4092.77,4114.59,4091.56,4108.09
26/11/2019,4083.88,4097.10,4079.00,4092.77
25/11/2019,4045.74,4084.72,4045.70,4083.88
22/11/2019,4002.37,4053.17,4002.37,4045.74
21/11/2019,4016.89,4016.89,3980.82,4002.37
20/11/2019,4045.94,4045.94,3995.10,4016.89
19/11/2019,4035.47,4085.96,4035.47,4045.94
18/11/2019,4031.99,4049.38,4028.33,4035.47
15/11/2019,4020.95,4041.33,3997.73,4031.99
14/11/2019,4048.92,4048.96,4020.95,4020.95
13/11/2019,4060.54,4060.54,4024.93,4048.92
12/11/2019,4043.57,4071.15,4043.37,4060.54
11/11/2019,4055.66,4055.66,4007.21,4043.57
08/11/2019,4078.83,4078.83,4049.30,4055.66
07/11/2019,4066.86,4089.77,4066.82,4078.83
06/11/2019,4065.31,4067.70,4051.77,4066.86
05/11/2019,4055.90,4070.64,4055.35,4065.31
04/11/2019,4022.74,4066.00,4022.74,4055.90
01/11/2019,3993.46,4024.58,3993.45,4022.74
31/10/2019,4032.80,4035.61,3992.90,3993.46
30/10/2019,4024.04,4034.69,4007.97,4032.80
29/10/2019,4036.64,4038.23,4004.55,4024.04
28/10/2019,4030.10,4043.60,4016.19,4036.64
25/10/2019,4033.51,4034.03,4005.99,4030.10
24/10/2019,4003.99,4039.91,4002.13,4033.51
23/10/2019,3982.66,4006.14,3972.62,4003.99
22/10/2019,3965.34,3991.04,3956.67,3982.66
21/10/2019,3956.89,3979.99,3950.68,3965.34
18/10/2019,3970.80,3978.53,3955.03,3956.89
17/10/2019,3962.68,3995.78,3956.70,3970.80
16/10/2019,3982.06,3983.30,3951.35,3962.68
15/10/2019,3974.44,3993.15,3961.14,3982.06
14/10/2019,3992.16,3994.29,3958.77,3974.44
11/10/2019,3938.33,3993.79,3922.72,3992.16
10/10/2019,3926.97,3949.64,3909.47,3938.33
09/10/2019,3918.17,3942.73,3916.44,3926.97
08/10/2019,3950.22,3964.47,3918.17,3918.17
07/10/2019,3933.15,3954.70,3921.82,3950.22
04/10/2019,3893.78,3933.41,3893.71,3933.15
03/10/2019,3918.73,3921.73,3857.72,3893.78
02/10/2019,4038.46,4038.51,3917.89,3918.73
01/10/2019,4061.74,4074.49,4035.02,4038.46
30/09/2019,4071.29,4077.76,4059.39,4061.74
27/09/2019,4031.56,4074.90,4031.54,4071.29
26/09/2019,4003.60,4049.81,3997.14,4031.56
25/09/2019,4009.77,4010.06,3966.84,4003.60
24/09/2019,4029.78,4039.00,4005.63,4009.84
23/09/2019,4042.86,4049.98,4009.28,4029.78
20/09/2019,4044.88,4054.71,4030.03,4042.86
19/09/2019,4024.85,4052.64,4014.28,4044.88
18/09/2019,4027.31,4042.91,4020.13,4024.85
17/09/2019,4028.79,4041.33,4013.08,4027.31
16/09/2019,4053.31,4058.27,4028.79,4028.79
13/09/2019,4035.21,4058.68,4025.14,4053.31
12/09/2019,4032.44,4047.59,4014.29,4035.21
11/09/2019,3992.49,4035.86,3992.49,4032.44
10/09/2019,3976.16,3993.18,3959.60,3992.49
09/09/2019,3998.18,4019.73,3962.30,3976.16
06/09/2019,3990.65,3998.18,3978.40,3998.18
05/09/2019,4007.19,4016.24,3980.08,3990.65
04/09/2019,3982.63,4016.49,3982.63,4007.19
03/09/2019,3989.81,3998.66,3967.18,3982.63
02/09/2019,3953.02,4005.19,3952.81,3989.81
30/08/2019,3939.37,3968.39,3936.97,3953.02
29/08/2019,3905.48,3944.93,3898.86,3939.37
28/08/2019,3899.22,3914.03,3878.21,3905.48
27/08/2019,3898.58,3908.87,3875.85,3899.22
23/08/2019,3912.94,3946.05,3898.58,3898.58
22/08/2019,3946.69,3946.69,3899.84,3912.94
21/08/2019,3904.60,3951.03,3903.25,3946.69
20/08/2019,3936.29,3956.54,3903.06,3904.60
19/08/2019,3893.66,3943.53,3893.66,3936.29
16/08/2019,3865.55,3894.47,3865.48,3893.66
15/08/2019,3905.59,3907.57,3841.86,3865.55
14/08/2019,3961.16,3969.66,3888.97,3905.59
13/08/2019,3947.53,3975.66,3918.35,3961.16
12/08/2019,3965.54,3992.02,3941.59,3947.53
09/08/2019,3981.33,3986.66,3957.57,3965.54
08/08/2019,3935.76,3981.33,3935.49,3981.33
07/08/2019,3920.70,3955.17,3912.51,3935.76
06/08/2019,3944.15,3957.32,3918.78,3920.70
05/08/2019,4039.53,4039.53,3932.85,3944.15
02/08/2019,4132.23,4132.23,4035.92,4039.53
01/08/2019,4134.03,4144.65,4109.26,4132.23
31/07/2019,4164.69,4165.21,4131.21,4134.03
30/07/2019,4186.17,4205.74,4162.83,4164.69
29/07/2019,4124.08,4198.76,4123.76,4186.17
26/07/2019,4096.03,4126.11,4095.32,4124.08
25/07/2019,4100.36,4122.48,4082.55,4096.03
