sep=,
"Date","Open(Q.DJI)","High(Q.DJI)","Low(Q.DJI)","Last(Q.DJI)"
"31/12/2019","28,109.74","28,109.84","27,325.13","27,649.78"
"30/11/2019","27,142.95","28,174.97","27,142.95","28,051.41"
"31/10/2019","26,962.54","27,204.36","25,743.46","27,046.23"
"30/09/2019","26,198.26","27,306.73","25,978.22","26,916.83"
"31/08/2019","26,879.86","27,175.59","25,339.6","26,403.28"
"31/07/2019","26,805.86","27,398.68","26,616.21","26,864.27"
"30/06/2019","24,830.16","26,907.37","24,680.57","26,599.96"
"31/05/2019","26,639.06","26,689.39","24,809.51","24,815.04"
"30/04/2019","26,075.1","26,695.96","26,062.59","26,592.91"
"31/03/2019","26,019.67","26,155.98","25,208","25,928.68"
"28/02/2019","25,025.31","26,241.42","24,883.04","25,916"
"31/01/2019","23,058.61","25,109.62","22,638.41","24,999.67"
"31/12/2018","25,779.57","25,980.21","21,712.53","23,327.46"
"30/11/2018","25,142.08","26,277.82","24,268.74","25,538.46"
"31/10/2018","26,598.36","26,951.81","24,122.23","25,115.76"
"30/09/2018","25,916.07","26,769.16","25,754.32","26,458.31"
"31/08/2018","25,461.63","26,167.94","24,965.77","25,964.82"
"31/07/2018","24,161.53","25,587.24","24,077.56","25,415.19"
"30/06/2018","24,542.09","25,402.83","23,997.21","24,271.41"
"31/05/2018","24,117.29","25,086.49","23,531.31","24,415.84"
"30/04/2018","24,076.6","24,858.97","23,344.52","24,163.15"
"31/03/2018","25,024.04","25,449.15","23,509.06","24,103.11"
"28/02/2018","26,083.04","26,306.7","23,360.29","25,029.2"
"31/01/2018","24,809.35","26,616.71","24,741.7","26,149.39"
"31/12/2017","24,305.4","24,876.07","23,921.9","24,719.22"
"30/11/2017","23,442.9","24,327.82","23,242.75","24,272.35"
"31/10/2017","22,423.47","23,485.25","22,416","23,377.24"
"30/09/2017","21,981.77","22,419.51","21,709.63","22,405.09"
"31/08/2017","21,961.42","22,179.11","21,600.34","21,948.1"
"31/07/2017","21,392.3","21,929.8","21,279.3","21,891.12"
"30/06/2017","21,030.55","21,535.03","20,994.22","21,349.63"
"31/05/2017","20,962.73","21,112.32","20,553.45","21,008.65"
"30/04/2017","20,665.17","21,070.9","20,379.55","20,940.51"
"31/03/2017","20,957.29","21,169.11","20,412.8","20,663.22"
"28/02/2017","19,923.81","20,851.33","19,831.09","20,812.24"
"31/01/2017","19,872.86","20,125.58","19,677.94","19,864.09"
"31/12/2016","19,149.2","19,987.63","19,138.79","19,762.6"
"30/11/2016","18,158.24","19,225.29","17,883.56","19,123.58"
"31/10/2016","18,279.6","18,399.96","17,959.95","18,142.42"
"30/09/2016","18,396.57","18,551.54","17,992.21","18,308.15"
"31/08/2016","18,434.5","18,668.44","18,247.79","18,400.88"
"31/07/2016","17,924.24","18,622.01","17,713.45","18,432.24"
"30/06/2016","17,754.55","18,016","17,063.08","17,929.99"
"31/05/2016","17,783.78","17,934.61","17,331.07","17,787.2"
"30/04/2016","17,661.74","18,167.63","17,484.23","17,773.64"
"31/03/2016","16,545.67","17,790.11","16,545.67","17,685.09"
"29/02/2016","16,453.63","16,795.98","15,503.01","16,516.5"
"31/01/2016","17,405.48","17,405.48","15,450.56","16,466.3"
"31/12/2015","17,719.72","17,901.58","17,116.73","17,425.03"
"30/11/2015","17,672.62","17,977.85","17,210.43","17,719.92"
"31/10/2015","16,278.62","17,799.96","16,013.66","17,663.54"
"30/09/2015","16,528.03","16,933.43","15,942.37","16,284.7"
"31/08/2015","17,696.74","17,704.76","15,370.33","16,528.03"
"31/07/2015","17,638.12","18,137.12","17,399.17","17,689.86"
"30/06/2015","18,017.82","18,188.81","17,576.5","17,619.51"
"31/05/2015","17,859.27","18,351.36","17,733.12","18,010.68"
"30/04/2015","17,778.52","18,175.56","17,585.01","17,840.52"
"31/03/2015","18,134.05","18,288.63","17,579.27","17,776.12"
"28/02/2015","17,169.99","18,244.38","17,037.76","18,132.7"
"31/01/2015","17,823.07","17,951.78","17,136.3","17,164.95"
"31/12/2014","17,827.27","18,103.45","17,067.59","17,823.07"
"30/11/2014","17,390.9","17,894.83","17,278.36","17,828.24"
"31/10/2014","17,040.46","17,395.54","15,855.12","17,390.52"
"30/09/2014","17,097.42","17,350.64","16,934.43","17,042.9"
"31/08/2014","16,561.7","17,153.8","16,333.78","17,098.45"
"31/07/2014","16,828.53","17,151.56","16,563.3","16,563.3"
"30/06/2014","16,716.85","16,978.02","16,673.65","16,826.6"
"31/05/2014","16,580.26","16,735.51","16,341.3","16,717.17"
"30/04/2014","16,458.05","16,631.63","16,015.32","16,580.84"
"31/03/2014","16,321.71","16,505.7","16,046.99","16,457.66"
"28/02/2014","15,697.69","16,398.95","15,340.69","16,321.71"
"31/01/2014","16,572.17","16,573.07","15,617.55","15,698.85"
"31/12/2013","16,087.12","16,588.25","15,703.79","16,576.66"
"30/11/2013","15,558.01","16,174.51","15,522.18","16,086.41"
"31/10/2013","15,132.49","15,721","14,719.43","15,545.75"
"30/09/2013","14,801.55","15,709.58","14,777.48","15,129.67"
